Date,High,Low,Open,Close,Adj Close,Volume
2018-03-21,6.1,6.1,6.1,6.1,3.974,0.0
2018-03-22,6.1,6.1,6.1,6.1,3.974,0.0
2018-03-23,6.1,6.1,6.1,6.1,3.974,0.0
2018-03-26,6.1,6.1,6.1,6.1,3.974,0.0
2018-03-27,6.1,6.1,6.1,6.1,3.974,0.0
2018-03-28,6.1,6.1,6.1,6.1,3.974,0.0
2018-03-29,7.8,7.8,7.8,7.8,5.082,1000.0
2018-03-30,7.8,7.8,7.8,7.8,5.082,0.0
2018-04-02,7.8,7.8,7.8,7.8,5.082,0.0
2018-04-03,7.8,7.8,7.8,7.8,5.082,0.0
2018-04-04,7.8,7.8,7.8,7.8,5.082,0.0
2018-04-05,7.8,7.8,7.8,7.8,5.082,0.0
2018-04-06,7.8,7.8,7.8,7.8,5.082,0.0
2018-04-09,7.8,7.8,7.8,7.8,5.082,0.0
2018-04-10,7.8,7.8,7.8,7.8,5.082,0.0
2018-04-11,7.8,7.8,7.8,7.8,5.082,0.0
2018-04-12,7.8,7.8,7.8,7.8,5.082,0.0
2018-04-13,7.8,7.8,7.8,7.8,5.082,0.0
2018-04-16,7.0,7.0,7.0,7.0,4.56,1000.0
2018-04-17,7.0,7.0,7.0,7.0,4.56,1980.0
2018-04-18,7.0,7.0,7.0,7.0,4.56,0.0
2018-04-19,7.0,7.0,7.0,7.0,4.56,0.0
2018-04-20,7.0,7.0,7.0,7.0,4.56,0.0
2018-04-23,7.0,7.0,7.0,7.0,4.56,0.0
2018-04-24,7.0,7.0,7.0,7.0,4.56,0.0
2018-04-26,7.0,7.0,7.0,7.0,4.56,11800.0
2018-04-27,7.0,7.0,7.0,7.0,4.56,0.0
2018-05-02,7.0,7.0,7.0,7.0,4.56,0.0
2018-05-03,7.0,7.0,7.0,7.0,4.56,0.0
2018-05-04,7.0,7.0,7.0,7.0,4.56,0.0
2018-05-07,7.0,7.0,7.0,7.0,4.56,0.0
2018-05-08,7.0,7.0,7.0,7.0,4.56,0.0
2018-05-09,7.0,7.0,7.0,7.0,4.56,0.0
2018-05-10,7.0,7.0,7.0,7.0,4.56,0.0
2018-05-11,7.0,7.0,7.0,7.0,4.56,0.0
2018-05-14,7.0,7.0,7.0,7.0,4.56,0.0
2018-05-15,7.0,7.0,7.0,7.0,4.56,0.0
2018-05-16,7.0,7.0,7.0,7.0,4.56,0.0
2018-05-17,7.0,7.0,7.0,7.0,4.56,0.0
2018-05-18,7.0,7.0,7.0,7.0,4.56,0.0
2018-05-21,7.0,7.0,7.0,7.0,4.56,0.0
2018-05-22,7.0,7.0,7.0,7.0,4.56,0.0
2018-05-23,7.0,7.0,7.0,7.0,4.56,15000.0
2018-05-24,7.0,7.0,7.0,7.0,4.56,0.0
2018-05-25,7.0,7.0,7.0,7.0,4.56,0.0
2018-05-28,7.0,7.0,7.0,7.0,4.56,0.0
2018-05-29,7.0,7.0,7.0,7.0,4.56,0.0
2018-05-30,7.0,7.0,7.0,7.0,4.56,0.0
2018-05-31,7.0,7.0,7.0,7.0,4.56,0.0
2018-06-01,7.0,7.0,7.0,7.0,4.56,35000.0
2018-06-04,7.0,7.0,7.0,7.0,4.56,0.0
2018-06-05,7.0,7.0,7.0,7.0,4.56,0.0
2018-06-06,7.0,7.0,7.0,7.0,4.56,0.0
2018-06-07,7.0,7.0,7.0,7.0,4.56,0.0
2018-06-08,7.0,7.0,7.0,7.0,4.56,0.0
2018-06-11,7.0,7.0,7.0,7.0,4.56,0.0
2018-06-12,6.0,6.0,6.0,6.0,4.56,0.0
2018-06-13,6.0,6.0,6.0,6.0,4.56,0.0
2018-06-14,6.0,6.0,6.0,6.0,4.56,0.0
2018-06-15,6.0,6.0,6.0,6.0,4.56,0.0
2018-06-18,6.0,6.0,6.0,6.0,4.56,0.0
2018-06-19,6.0,6.0,6.0,6.0,4.56,0.0
2018-06-20,6.0,6.0,6.0,6.0,4.56,0.0
2018-06-21,6.0,6.0,6.0,6.0,4.56,0.0
2018-06-22,6.0,6.0,6.0,6.0,4.56,0.0
2018-06-25,6.0,6.0,6.0,6.0,4.56,0.0
2018-06-26,6.0,6.0,6.0,6.0,4.56,0.0
2018-06-27,6.0,6.0,6.0,6.0,4.56,0.0
2018-06-28,6.0,6.0,6.0,6.0,4.56,0.0
2018-06-29,6.0,6.0,6.0,6.0,4.56,0.0
2018-07-02,6.0,6.0,6.0,6.0,4.56,0.0
2018-07-03,6.0,6.0,6.0,6.0,4.56,0.0
2018-07-04,6.0,6.0,6.0,6.0,4.56,0.0
2018-07-05,6.0,6.0,6.0,6.0,4.56,0.0
2018-07-06,6.0,6.0,6.0,6.0,4.56,0.0
2018-07-09,6.0,6.0,6.0,6.0,4.56,0.0
2018-07-10,6.0,6.0,6.0,6.0,4.56,0.0
2018-07-11,6.0,6.0,6.0,6.0,4.56,0.0
2018-07-12,6.0,6.0,6.0,6.0,4.56,0.0
2018-07-13,6.0,6.0,6.0,6.0,4.56,0.0
2018-07-16,6.0,6.0,6.0,6.0,4.56,0.0
2018-07-17,6.0,6.0,6.0,6.0,4.56,0.0
2018-07-18,6.0,6.0,6.0,6.0,4.56,0.0
2018-07-19,6.0,6.0,6.0,6.0,4.56,0.0
2018-07-20,6.0,6.0,6.0,6.0,4.56,0.0
2018-07-23,6.0,6.0,6.0,6.0,4.56,0.0
2018-07-24,6.0,6.0,6.0,6.0,4.56,0.0
2018-07-25,6.0,6.0,6.0,6.0,4.56,0.0
2018-07-26,6.0,6.0,6.0,6.0,4.56,0.0
2018-07-27,6.0,6.0,6.0,6.0,4.56,0.0
2018-07-30,6.0,6.0,6.0,6.0,4.56,0.0
2018-07-31,6.0,6.0,6.0,6.0,4.56,0.0
2018-08-01,6.0,6.0,6.0,6.0,4.56,0.0
2018-08-02,6.0,6.0,6.0,6.0,4.56,0.0
2018-08-03,6.0,6.0,6.0,6.0,4.56,0.0
2018-08-06,6.0,6.0,6.0,6.0,4.56,0.0
2018-08-07,6.0,6.0,6.0,6.0,4.56,0.0
2018-08-08,6.0,6.0,6.0,6.0,4.56,0.0
2018-08-09,6.0,6.0,6.0,6.0,4.56,1200.0
2018-08-10,6.0,6.0,6.0,6.0,4.56,0.0
2018-08-13,6.0,6.0,6.0,6.0,4.56,0.0
2018-08-14,6.0,6.0,6.0,6.0,4.56,0.0
2018-08-15,6.0,6.0,6.0,6.0,4.56,0.0
2018-08-16,6.0,6.0,6.0,6.0,4.56,0.0
2018-08-17,6.0,6.0,6.0,6.0,4.56,13200.0
2018-08-20,6.0,6.0,6.0,6.0,4.56,0.0
2018-08-21,6.0,6.0,6.0,6.0,4.56,0.0
2018-08-22,6.0,6.0,6.0,6.0,4.56,0.0
2018-08-23,6.0,6.0,6.0,6.0,4.56,0.0
2018-08-24,6.0,6.0,6.0,6.0,4.56,0.0
2018-08-27,6.0,6.0,6.0,6.0,4.56,1000.0
2018-08-28,6.0,6.0,6.0,6.0,4.56,0.0
2018-08-29,6.0,6.0,6.0,6.0,4.56,0.0
2018-08-30,6.0,6.0,6.0,6.0,4.56,0.0
2018-08-31,6.0,6.0,6.0,6.0,4.56,0.0
2018-09-04,6.0,6.0,6.0,6.0,4.56,0.0
2018-09-05,6.0,6.0,6.0,6.0,4.56,0.0
2018-09-06,6.0,6.0,6.0,6.0,4.56,0.0
2018-09-07,6.0,6.0,6.0,6.0,4.56,0.0
2018-09-10,6.0,6.0,6.0,6.0,4.56,0.0
2018-09-11,6.0,6.0,6.0,6.0,4.56,0.0
2018-09-12,6.0,6.0,6.0,6.0,4.56,0.0
2018-09-13,6.0,6.0,6.0,6.0,4.56,0.0
2018-09-14,6.0,6.0,6.0,6.0,4.56,0.0
2018-09-17,6.0,6.0,6.0,6.0,4.56,0.0
2018-09-18,6.0,6.0,6.0,6.0,4.56,0.0
2018-09-19,6.0,6.0,6.0,6.0,4.56,0.0
2018-09-20,6.0,6.0,6.0,6.0,4.56,0.0
2018-09-21,6.0,6.0,6.0,6.0,4.56,0.0
2018-09-24,6.0,6.0,6.0,6.0,4.56,0.0
2018-09-25,6.0,6.0,6.0,6.0,4.56,0.0
2018-09-26,6.0,6.0,6.0,6.0,4.56,0.0
2018-09-27,6.0,6.0,6.0,6.0,4.56,0.0
2018-09-28,6.0,6.0,6.0,6.0,4.56,0.0
2018-10-01,6.0,6.0,6.0,6.0,4.56,0.0
2018-10-02,6.0,6.0,6.0,6.0,4.56,0.0
2018-10-03,6.0,6.0,6.0,6.0,4.56,0.0
2018-10-04,6.0,6.0,6.0,6.0,4.56,0.0
2018-10-05,6.0,6.0,6.0,6.0,4.56,0.0
2018-10-08,6.0,6.0,6.0,6.0,4.56,0.0
2018-10-09,6.0,6.0,6.0,6.0,4.56,0.0
2018-10-10,6.0,6.0,6.0,6.0,4.56,0.0
2018-10-11,6.0,6.0,6.0,6.0,4.56,0.0
2018-10-12,6.0,6.0,6.0,6.0,4.56,0.0
2018-10-15,6.0,6.0,6.0,6.0,4.56,0.0
2018-10-16,6.0,6.0,6.0,6.0,4.56,0.0
2018-10-17,6.0,6.0,6.0,6.0,4.56,0.0
2018-10-18,6.0,6.0,6.0,6.0,4.56,0.0
2018-10-19,6.0,6.0,6.0,6.0,4.56,0.0
2018-10-22,6.0,6.0,6.0,6.0,4.56,0.0
2018-10-23,6.0,6.0,6.0,6.0,4.56,8000.0
2018-10-24,6.0,6.0,6.0,6.0,4.56,0.0
2018-10-25,6.0,6.0,6.0,6.0,4.56,0.0
2018-10-26,6.0,6.0,6.0,6.0,4.56,0.0
2018-10-29,6.0,6.0,6.0,6.0,4.56,0.0
2018-10-30,6.0,6.0,6.0,6.0,4.56,0.0
2018-10-31,6.0,6.0,6.0,6.0,4.56,0.0
2018-11-01,6.0,6.0,6.0,6.0,4.56,0.0
2018-11-02,6.0,6.0,6.0,6.0,4.56,0.0
2018-11-05,6.0,6.0,6.0,6.0,4.56,0.0
2018-11-06,6.0,6.0,6.0,6.0,4.56,0.0
2018-11-07,6.0,6.0,6.0,6.0,4.56,0.0
2018-11-08,6.0,6.0,6.0,6.0,4.56,0.0
2018-11-09,6.0,6.0,6.0,6.0,4.56,0.0
2018-11-12,6.0,6.0,6.0,6.0,4.56,0.0
2018-11-13,6.0,6.0,6.0,6.0,4.56,0.0
2018-11-14,6.0,6.0,6.0,6.0,4.56,0.0
2018-11-15,6.0,6.0,6.0,6.0,4.56,0.0
2018-11-16,6.0,6.0,6.0,6.0,4.56,0.0
2018-11-19,6.0,6.0,6.0,6.0,4.56,0.0
2018-11-20,6.0,6.0,6.0,6.0,4.56,0.0
2018-11-21,6.0,6.0,6.0,6.0,4.56,0.0
2018-11-22,6.0,6.0,6.0,6.0,4.56,0.0
2018-11-23,6.0,6.0,6.0,6.0,4.56,0.0
2018-11-26,6.0,6.0,6.0,6.0,4.56,0.0
2018-11-27,6.0,6.0,6.0,6.0,4.56,0.0
2018-11-28,6.0,6.0,6.0,6.0,4.56,0.0
2018-11-29,6.0,6.0,6.0,6.0,4.56,0.0
2018-11-30,6.0,6.0,6.0,6.0,4.56,0.0
2018-12-03,6.0,6.0,6.0,6.0,4.56,0.0
2018-12-04,6.0,6.0,6.0,6.0,4.56,0.0
2018-12-05,6.0,6.0,6.0,6.0,4.56,0.0
2018-12-06,6.0,6.0,6.0,6.0,4.56,0.0
2018-12-07,6.0,6.0,6.0,6.0,4.56,0.0
2018-12-10,6.0,6.0,6.0,6.0,4.56,0.0
2018-12-11,6.0,6.0,6.0,6.0,4.56,0.0
2018-12-12,6.0,6.0,6.0,6.0,4.56,0.0
2018-12-13,6.0,6.0,6.0,6.0,4.56,0.0
2018-12-14,6.0,6.0,6.0,6.0,4.56,5200.0
2018-12-17,6.0,6.0,6.0,6.0,4.56,0.0
2018-12-18,6.0,6.0,6.0,6.0,4.56,0.0
2018-12-19,6.0,6.0,6.0,6.0,4.56,0.0
2018-12-20,6.0,6.0,6.0,6.0,4.56,0.0
2018-12-21,6.0,6.0,6.0,6.0,4.56,0.0
2018-12-24,6.0,6.0,6.0,6.0,4.56,0.0
2018-12-25,6.0,6.0,6.0,6.0,4.56,0.0
2018-12-26,6.0,6.0,6.0,6.0,4.56,0.0
2018-12-27,6.0,6.0,6.0,6.0,4.56,0.0
2018-12-28,6.0,6.0,6.0,6.0,4.56,0.0
2019-01-02,6.0,6.0,6.0,6.0,4.56,0.0
2019-01-03,6.0,6.0,6.0,6.0,4.56,0.0
2019-01-04,6.0,6.0,6.0,6.0,4.56,0.0
2019-01-07,6.0,6.0,6.0,6.0,4.56,0.0
2019-01-08,6.0,6.0,6.0,6.0,4.56,0.0
2019-01-09,6.0,6.0,6.0,6.0,4.56,0.0
2019-01-10,6.0,6.0,6.0,6.0,4.56,0.0
2019-01-11,6.0,6.0,6.0,6.0,4.56,0.0
2019-01-14,6.0,6.0,6.0,6.0,4.56,0.0
2019-01-15,6.0,6.0,6.0,6.0,4.56,0.0
2019-01-16,6.0,6.0,6.0,6.0,4.56,0.0
2019-01-17,6.0,6.0,6.0,6.0,4.56,0.0
2019-01-18,6.0,6.0,6.0,6.0,4.56,0.0
2019-01-21,6.0,6.0,6.0,6.0,4.56,0.0
2019-01-22,6.0,6.0,6.0,6.0,4.56,0.0
2019-01-23,6.0,6.0,6.0,6.0,4.56,0.0
2019-01-24,6.0,6.0,6.0,6.0,4.56,0.0
2019-01-25,6.0,6.0,6.0,6.0,4.56,0.0
2019-01-28,6.0,6.0,6.0,6.0,4.56,0.0
2019-01-29,6.0,6.0,6.0,6.0,4.56,0.0
2019-01-30,6.0,6.0,6.0,6.0,4.56,0.0
2019-01-31,6.0,6.0,6.0,6.0,4.56,0.0
2019-02-01,6.0,6.0,6.0,6.0,4.56,0.0
2019-02-11,6.0,6.0,6.0,6.0,4.56,0.0
2019-02-12,6.0,6.0,6.0,6.0,4.56,0.0
2019-02-13,6.0,6.0,6.0,6.0,4.56,0.0
2019-02-14,6.0,6.0,6.0,6.0,4.56,0.0
2019-02-15,6.0,6.0,6.0,6.0,4.56,0.0
2019-02-18,6.0,6.0,6.0,6.0,4.56,0.0
2019-02-19,6.0,6.0,6.0,6.0,4.56,0.0
2019-02-20,6.0,6.0,6.0,6.0,4.56,0.0
2019-02-21,6.0,6.0,6.0,6.0,4.56,0.0
2019-02-22,6.0,6.0,6.0,6.0,4.56,0.0
2019-02-25,6.0,6.0,6.0,6.0,4.56,0.0
2019-02-26,6.0,6.0,6.0,6.0,4.56,0.0
2019-02-27,6.0,6.0,6.0,6.0,4.56,0.0
2019-02-28,6.0,6.0,6.0,6.0,4.56,0.0
2019-03-01,6.0,6.0,6.0,6.0,4.56,0.0
2019-03-04,6.0,6.0,6.0,6.0,4.56,0.0
2019-03-05,6.0,6.0,6.0,6.0,4.56,0.0
2019-03-06,6.0,6.0,6.0,6.0,4.56,0.0
2019-03-07,6.0,6.0,6.0,6.0,4.56,0.0
2019-03-08,6.0,6.0,6.0,6.0,4.56,0.0
2019-03-11,6.0,6.0,6.0,6.0,4.56,0.0
2019-03-12,6.0,6.0,6.0,6.0,4.56,0.0
2019-03-13,6.0,6.0,6.0,6.0,4.56,0.0
2019-03-14,6.0,6.0,6.0,6.0,4.56,0.0
2019-03-15,6.0,6.0,6.0,6.0,4.56,0.0
2019-03-18,6.0,6.0,6.0,6.0,4.56,0.0
2019-03-19,6.0,6.0,6.0,6.0,4.56,0.0
2019-03-20,6.0,6.0,6.0,6.0,4.56,0.0
2019-03-21,6.0,6.0,6.0,6.0,4.56,0.0
2019-03-22,6.0,6.0,6.0,6.0,4.56,0.0
2019-03-25,6.0,6.0,6.0,6.0,4.56,0.0
2019-03-26,6.0,6.0,6.0,6.0,4.56,0.0
2019-03-27,6.0,6.0,6.0,6.0,4.56,0.0
2019-03-28,6.0,6.0,6.0,6.0,4.56,0.0
2019-03-29,6.0,6.0,6.0,6.0,4.56,0.0
2019-04-01,6.0,6.0,6.0,6.0,4.56,0.0
2019-04-02,6.0,6.0,6.0,6.0,4.56,0.0
2019-04-03,6.0,6.0,6.0,6.0,4.56,0.0
2019-04-04,6.0,6.0,6.0,6.0,4.56,0.0
2019-04-05,6.0,5.9,6.0,5.9,4.484,25600.0
2019-04-08,6.0,6.0,6.0,6.0,4.56,60.0
2019-04-09,6.0,6.0,6.0,6.0,4.56,0.0
2019-04-10,6.0,6.0,6.0,6.0,4.56,0.0
2019-04-11,6.0,6.0,6.0,6.0,4.56,0.0
2019-04-12,6.0,6.0,6.0,6.0,4.56,0.0
2019-04-16,6.0,6.0,6.0,6.0,4.56,0.0
2019-04-17,6.0,6.0,6.0,6.0,4.56,0.0
2019-04-18,6.0,6.0,6.0,6.0,4.56,0.0
2019-04-19,6.0,6.0,6.0,6.0,4.56,0.0
2019-04-22,6.0,6.0,6.0,6.0,4.56,0.0
2019-04-23,6.0,6.0,6.0,6.0,4.56,0.0
2019-04-24,6.0,6.0,6.0,6.0,4.56,0.0
2019-04-25,6.0,6.0,6.0,6.0,4.56,0.0
2019-04-26,6.0,6.0,6.0,6.0,4.56,0.0
2019-05-02,6.0,6.0,6.0,6.0,4.56,0.0
2019-05-03,6.0,6.0,6.0,6.0,4.56,0.0
2019-05-06,6.0,6.0,6.0,6.0,4.56,0.0
2019-05-07,6.0,6.0,6.0,6.0,4.56,0.0
2019-05-08,6.0,6.0,6.0,6.0,4.56,0.0
2019-05-09,6.0,6.0,6.0,6.0,4.56,0.0
2019-05-10,6.0,6.0,6.0,6.0,4.56,0.0
2019-05-13,6.0,6.0,6.0,6.0,4.56,0.0
2019-05-14,6.0,6.0,6.0,6.0,4.56,0.0
2019-05-15,6.0,6.0,6.0,6.0,4.56,0.0
2019-05-16,6.0,6.0,6.0,6.0,4.56,0.0
2019-05-17,6.0,6.0,6.0,6.0,4.56,0.0
2019-05-20,6.0,6.0,6.0,6.0,4.56,0.0
2019-05-21,6.0,6.0,6.0,6.0,4.56,0.0
2019-05-22,6.0,6.0,6.0,6.0,4.56,0.0
2019-05-23,6.0,6.0,6.0,6.0,4.56,0.0
2019-05-24,6.0,6.0,6.0,6.0,4.56,0.0
2019-05-27,6.0,6.0,6.0,6.0,4.56,0.0
2019-05-28,6.0,6.0,6.0,6.0,4.56,0.0
2019-05-29,5.2,5.2,5.2,5.2,4.56,0.0
2019-05-30,5.2,5.2,5.2,5.2,4.56,0.0
2019-05-31,5.2,5.2,5.2,5.2,4.56,0.0
2019-06-03,5.2,5.2,5.2,5.2,4.56,0.0
2019-06-04,5.2,5.2,5.2,5.2,4.56,0.0
2019-06-05,5.2,5.2,5.2,5.2,4.56,0.0
2019-06-06,5.2,5.2,5.2,5.2,4.56,0.0
2019-06-07,5.2,5.2,5.2,5.2,4.56,0.0
2019-06-10,5.2,5.2,5.2,5.2,4.56,0.0
2019-06-11,5.2,5.2,5.2,5.2,4.56,0.0
2019-06-12,5.2,5.2,5.2,5.2,4.56,0.0
2019-06-13,5.2,5.2,5.2,5.2,4.56,0.0
2019-06-14,6.0,6.0,6.0,6.0,5.262,38000.0
2019-06-17,6.0,6.0,6.0,6.0,5.262,0.0
2019-06-18,6.0,6.0,6.0,6.0,5.262,0.0
2019-06-19,6.0,6.0,6.0,6.0,5.262,0.0
2019-06-20,6.0,6.0,6.0,6.0,5.262,0.0
2019-06-21,6.0,6.0,6.0,6.0,5.262,0.0
2019-06-24,6.0,6.0,6.0,6.0,5.262,0.0
2019-06-25,6.0,6.0,6.0,6.0,5.262,0.0
2019-06-26,6.0,6.0,6.0,6.0,5.262,0.0
2019-06-27,6.0,6.0,6.0,6.0,5.262,0.0
2019-06-28,6.0,6.0,6.0,6.0,5.262,0.0
2019-07-01,6.0,6.0,6.0,6.0,5.262,0.0
2019-07-02,6.0,6.0,6.0,6.0,5.262,0.0
2019-07-03,6.0,6.0,6.0,6.0,5.262,0.0
2019-07-04,6.0,6.0,6.0,6.0,5.262,13000.0
2019-07-05,6.0,6.0,6.0,6.0,5.262,0.0
2019-07-08,6.0,6.0,6.0,6.0,5.262,0.0
2019-07-09,6.0,6.0,6.0,6.0,5.262,0.0
2019-07-10,6.0,6.0,6.0,6.0,5.262,0.0
2019-07-11,6.0,6.0,6.0,6.0,5.262,0.0
2019-07-12,6.0,6.0,6.0,6.0,5.262,0.0
2019-07-15,6.0,6.0,6.0,6.0,5.262,0.0
2019-07-16,6.0,6.0,6.0,6.0,5.262,0.0
2019-07-17,6.0,6.0,6.0,6.0,5.262,0.0
2019-07-18,6.0,6.0,6.0,6.0,5.262,0.0
2019-07-19,6.0,6.0,6.0,6.0,5.262,0.0
2019-07-22,6.0,6.0,6.0,6.0,5.262,0.0
2019-07-23,6.0,6.0,6.0,6.0,5.262,0.0
2019-07-24,6.0,6.0,6.0,6.0,5.262,0.0
2019-07-25,6.0,6.0,6.0,6.0,5.262,0.0
2019-07-26,6.0,6.0,6.0,6.0,5.262,0.0
2019-07-29,6.0,6.0,6.0,6.0,5.262,0.0
2019-07-30,6.0,6.0,6.0,6.0,5.262,0.0
2019-07-31,6.0,6.0,6.0,6.0,5.262,0.0
2019-08-01,6.0,6.0,6.0,6.0,5.262,0.0
2019-08-02,6.0,6.0,6.0,6.0,5.262,0.0
2019-08-05,6.0,6.0,6.0,6.0,5.262,0.0
2019-08-06,6.0,6.0,6.0,6.0,5.262,0.0
2019-08-07,6.0,6.0,6.0,6.0,5.262,0.0
2019-08-08,6.0,6.0,6.0,6.0,5.262,0.0
2019-08-09,6.0,6.0,6.0,6.0,5.262,0.0
2019-08-12,6.0,6.0,6.0,6.0,5.262,0.0
2019-08-13,6.0,6.0,6.0,6.0,5.262,0.0
2019-08-14,6.0,6.0,6.0,6.0,5.262,0.0
2019-08-15,6.0,6.0,6.0,6.0,5.262,0.0
2019-08-16,6.0,6.0,6.0,6.0,5.262,0.0
2019-08-19,6.0,6.0,6.0,6.0,5.262,0.0
2019-08-20,6.0,6.0,6.0,6.0,5.262,0.0
2019-08-21,6.0,6.0,6.0,6.0,5.262,0.0
2019-08-22,6.0,6.0,6.0,6.0,5.262,0.0
2019-08-23,6.0,6.0,6.0,6.0,5.262,0.0
2019-08-26,6.0,6.0,6.0,6.0,5.262,0.0
2019-08-27,6.0,6.0,6.0,6.0,5.262,0.0
2019-08-28,6.0,6.0,6.0,6.0,5.262,0.0
2019-08-29,6.0,6.0,6.0,6.0,5.262,0.0
2019-08-30,6.0,6.0,6.0,6.0,5.262,0.0
2019-09-03,6.0,6.0,6.0,6.0,5.262,0.0
2019-09-04,6.0,6.0,6.0,6.0,5.262,0.0
2019-09-05,6.0,6.0,6.0,6.0,5.262,0.0
2019-09-06,6.0,6.0,6.0,6.0,5.262,0.0
2019-09-09,6.0,6.0,6.0,6.0,5.262,0.0
2019-09-10,6.0,6.0,6.0,6.0,5.262,0.0
2019-09-11,6.0,6.0,6.0,6.0,5.262,0.0
2019-09-12,6.0,6.0,6.0,6.0,5.262,0.0
2019-09-13,6.0,6.0,6.0,6.0,5.262,0.0
2019-09-16,6.0,6.0,6.0,6.0,5.262,0.0
2019-09-17,6.0,6.0,6.0,6.0,5.262,0.0
2019-09-18,6.0,6.0,6.0,6.0,5.262,0.0
2019-09-19,6.0,6.0,6.0,6.0,5.262,0.0
2019-09-20,6.0,6.0,6.0,6.0,5.262,0.0
2019-09-23,6.0,6.0,6.0,6.0,5.262,0.0
2019-09-24,6.0,6.0,6.0,6.0,5.262,0.0
2019-09-25,6.0,6.0,6.0,6.0,5.262,0.0
2019-09-26,6.0,6.0,6.0,6.0,5.262,0.0
2019-09-27,6.0,6.0,6.0,6.0,5.262,0.0
2019-09-30,6.0,6.0,6.0,6.0,5.262,0.0
2019-10-01,6.0,6.0,6.0,6.0,5.262,0.0
2019-10-02,6.0,6.0,6.0,6.0,5.262,0.0
2019-10-03,6.0,6.0,6.0,6.0,5.262,0.0
2019-10-04,6.0,6.0,6.0,6.0,5.262,0.0
2019-10-07,6.0,6.0,6.0,6.0,5.262,0.0
2019-10-08,6.0,6.0,6.0,6.0,5.262,0.0
2019-10-09,8.4,3.6,3.6,8.4,7.366,1300.0
2019-10-10,4.0,4.0,4.0,4.0,3.508,0.0
2019-10-11,4.0,4.0,4.0,4.0,3.508,0.0
2019-10-14,4.0,4.0,4.0,4.0,3.508,0.0
2019-10-15,4.0,4.0,4.0,4.0,3.508,0.0
2019-10-16,4.0,4.0,4.0,4.0,3.508,0.0
2019-10-17,4.0,4.0,4.0,4.0,3.508,0.0
2019-10-18,4.0,4.0,4.0,4.0,3.508,0.0
2019-10-21,4.0,4.0,4.0,4.0,3.508,0.0
